lumeter_customer_ext_key,lumeter_system_ext_key,paygee_customer_ext_key,paygee_system_ext_key
641,48340,1882,10285
672,48352,1194,10295
911,48367,1957,10378
4772,48402,2994,11593
1040,48413,1996,10435
744,48429,1913,10328
356,48436,,
295,48448,1771,10139
12395,48485,,
687,48490,1896,10306
832,48509,1937,10357
639,48515,1881,10284
561,48527,1865,10262
714,48544,1195,10311
684,48562,1895,10302
752,48581,1915,10330
1752,48603,2187,10663
897,48679,1953,10374
934,48695,1963,10387
643,48700,1883,10286
915,48792,371,10380
886,48801,1949,10370
600,48819,1192,10272
1760,49032,2193,10672
1751,49080,2186,10661
3661,49855,2739,11304
1069,50096,2006,10447
947,50116,208,4301
937,50386,1965,10389
990,50394,,
1046,50538,1999,10439
1116,50544,811,10469
3210,50576,2636,11188
1596,50581,27341,38983
1660,50603,2160,10628
7683,50637,3619,12330
2239,50695,2347,10863
1178,50700,2046,10493
1155,50717,2038,10484
1034,50724,1992,10430
983,50753,1972,10403
903,50778,,
1123,50801,2028,10473
992,50819,1975,10407
927,50835,200,4290
1060,50842,2003,10444
1611,50857,2136,10603
1106,50866,2022,10463
1204,50883,2049,10496
4997,50906,3022,11624
1104,50918,2021,10462
1283,50934,2067,10517
3843,50949,2770,11337
9474,50955,4096,12870
1829,50997,1208,10710
1100,51003,2018,10459
879,51010,1943,10364
1131,51022,2032,10478
1096,51041,2016,10457
1763,51068,2195,10674
1011,51079,1982,10420
1074,51084,2007,10448
878,51095,,
938,51102,207,4299
1098,51113,2017,10458
4939,51177,3018,11620
1171,51185,2044,10491
932,51190,204,4295
2402,51278,2397,10917
933,51292,205,4297
5927,51327,2039,11882
1265,51338,2065,10515
1088,51401,2013,10454
5787,51435,27409,39061
936,51442,206,4298
1090,51457,2014,10455
1081,51466,2011,10452
1075,51498,2008,10449
3648,51523,2735,11300
1091,51549,2015,10456
1118,51561,2027,10472
2809,51597,,
1219,51633,2052,10500
989,51645,1974,10406
896,51659,1952,10373
3657,51660,2738,11303
1898,51687,2244,10735
2410,51705,2399,10919
4711,51728,2981,11575
1464,51739,2102,10565
1811,51767,2218,10701
1527,51794,2112,10578
1530,51807,2113,10579
1250,51812,2061,10509
3132,51826,2605,11154
1686,51830,2161,10633
2823,51843,2505,11038
2072,51854,2294,10800
6541,51875,3369,12031
5768,51888,3186,11822
993,51904,1976,10408
3576,51916,2719,11284
2297,51925,27369,39013
2425,51932,2401,10921
3401,51947,27383,39029
1532,51958,2115,10581
2749,51963,2484,11015
3933,51980,2793,11363
1808,51999,2217,10700
2381,52016,2393,10913
1167,52047,2043,10490
3473,52099,2696,11258
1717,52111,2167,10639
2201,52128,23486,10851
2037,52139,2283,10785
1002,52167,4,10412
1045,52173,1998,10437
2220,52194,27364,39008
1453,52256,2101,10564
3750,52268,2750,11316
1387,52279,2094,10555
1258,52284,2064,10514
7097,52312,2357,12140
3178,52326,2624,11176
2541,52330,2430,10952
1172,52354,2045,10492
1886,52388,2239,10730
2183,52415,27360,39004
1930,52438,2255,10749
1877,52444,2237,10728
1144,52450,2035,10481
2512,52476,2422,10944
2145,52493,2314,10824
2138,52529,27353,38997
2565,52536,2434,10956
1743,52551,2181,10656
2563,52564,2433,10955
1894,52577,2241,10732
1128,52585,2031,10477
2301,52600,2370,10889
3013,52624,2570,11110
1784,52631,2206,10687
3293,52689,27382,39028
2299,52692,2368,10887
2180,52701,27358,39002
1151,52719,,
954,52742,1967,10391
1140,52757,2034,10480
1842,52766,2227,10715
4779,52806,2995,11594
1813,52818,2220,10703
1136,52823,2033,10479
1812,52834,2219,10702
2659,52855,2458,10982
2506,52861,2419,10941
3921,52870,2790,11359
1726,52882,2172,10644
6170,52897,3287,11943
2847,52914,2513,11047
2260,52921,2352,10868
1924,52945,2252,10746
2135,52972,2310,10819
1346,52987,2085,10542
3331,52996,908,11213
2474,53000,2411,10933
2950,53046,2549,11085
1238,53078,2059,10507
2432,53092,27377,39022
3845,53106,2772,11339
1876,53134,2236,10727
3889,53149,2781,11348
2122,53170,2305,10814
1723,53197,2170,10642
823,53211,1934,10354
3065,53228,2590,11133
2359,53240,2384,10904
4075,53252,27389,39035
2655,53267,2455,10979
2850,53286,2515,11049
3438,53294,2687,11246
1621,53303,2146,10613
1713,53310,2166,10638
3914,53322,1216,11357
3307,53341,2654,11207
2904,53379,2526,11060
1008,53414,1981,10419
3333,53433,2661,11216
1897,53445,2243,10734
2761,53459,2486,11017
3416,53472,2679,11238
2814,53487,2500,11033
4289,53496,2863,11445
2765,53512,2488,11019
1440,53530,2099,10562
1788,53543,2210,10691
4329,53554,2874,11457
1005,53591,1979,10417
2119,53609,2303,10812
2636,53638,27379,39024
767,53644,1918,10335
1782,53676,2205,10686
1942,53693,2260,10757
2638,53704,2446,10969
4154,53716,2833,11409
1509,53725,2107,10572
1383,53732,2093,10553
2289,53758,2361,10878
2178,53771,27357,39001
1931,53780,2256,10750
2042,53802,2284,10788
2542,53813,2431,10953
1162,53864,2041,10488
1465,53877,1204,10566
1620,53885,2145,10612
2948,53919,2186,11083
1668,53920,1205,10629
1616,53957,2141,10608
1533,53974,2116,10582
1297,53998,2072,10525
902,54018,198,4288
1223,54023,2054,10502
3755,54034,2752,11318
7917,54049,3684,12404
3537,54055,2708,11271
2651,54061,2454,10978
1445,54070,2100,10563
1300,54082,2074,10527
1902,54097,2246,10737
4372,54119,2883,11467
2020,54120,27347,38991
2736,54142,2479,11009
2409,54157,2398,10918
1525,54174,2110,10576
1974,54198,2268,10768
1931,54208,2256,10751
2943,54214,2545,11080
1227,54221,2056,10504
8590,54260,3860,12598
1157,54272,2040,10487
7070,54287,3452,12133
1574,54324,2128,10595
1618,54331,2143,10610
2279,54353,27367,39011
2008,54365,2274,10776
1737,54407,2180,10655
2102,54412,2300,10806
2447,54426,2406,10928
2269,54469,2354,10870
1613,54488,2138,10605
3335,54511,2662,11217
3641,54528,2731,11296
3371,54540,2676,11231
3602,54552,2726,11291
3435,54567,2685,11244
3557,54573,2712,39512
3513,54586,2701,11264
3574,54594,2717,11281
6207,54602,3290,11947
35500,54613,13528,23751
3475,54629,2698,11260
3369,54636,2674,11229
6844,54664,3430,12100
2460,54677,2409,10931
5748,54685,828,11811
1146,54690,2036,10482
2243,54762,27365,39009
4258,54781,2854,11436
4583,54793,2942,11533
4062,54804,2821,11394
1757,54825,840,10668
3678,54858,2741,11306
1730,54863,2175,10647
3928,54871,27793,39827
765,54899,1917,10333
3965,54903,2799,11370
1750,54910,2185,10660
4173,54922,2836,11412
1892,54937,2240,10731
